location_name,year,trial_code,block,row,column,line_name,check,new,heading_dap,height_cm,fhb_severity,don_kernel,don_hull,don_rachis,hull_mass,kernel_mass,hull_don_proportion,hull_kernel_don
Crookston FHB,2020,oreidiv_2020_cfhb,1,1,1,09WA-265.12,trt,1,56,71,29,13.7,65.6,38.8,1.9,14.4,0.387176938,4.788321168
Crookston FHB,2020,oreidiv_2020_cfhb,1,1,2,PI386526,trt,1,49,85,19.5,8.6,37.6,38.6,0.8,13,0.212010149,4.372093023
Crookston FHB,2020,oreidiv_2020_cfhb,1,1,3,PI510561,trt,1,50,84,23.5,9.2,58.2,63.3,1.4,12.3,0.418618989,6.326086957
Crookston FHB,2020,oreidiv_2020_cfhb,1,1,4,DH160804,trt,1,49,57,16,1.7,12.8,16.4,2.7,13.4,0.602720614,7.529411765
Crookston FHB,2020,oreidiv_2020_cfhb,1,1,5,DH160825,trt,1,50,65,36.5,5.6,39.1,48.2,2.9,18.5,0.522558643,6.982142857
Crookston FHB,2020,oreidiv_2020_cfhb,1,1,6,CI13453,trt,1,48,71,NA,4,30.5,35.8,1.5,10.1,0.531050493,7.625
Crookston FHB,2020,oreidiv_2020_cfhb,1,1,7,DH160410,trt,1,55,63,16.5,12.6,81.8,59.3,4,22.6,0.534675469,6.492063492
Crookston FHB,2020,oreidiv_2020_cfhb,2,1,8,DH160819,trt,1,51,36,72.5,24.6,43,42.2,1,3.2,0.3532698,1.74796748
Crookston FHB,2020,oreidiv_2020_cfhb,2,1,9,PI573802,trt,1,41,59,NA,10.3,14.2,13.6,2.4,6,0.355444305,1.378640777
Crookston FHB,2020,oreidiv_2020_cfhb,2,1,10,DH140079,trt,1,48,55,18.5,0.55,6.4,10.8,0.6,6.5,0.517869184,11.63636364
Crookston FHB,2020,oreidiv_2020_cfhb,2,1,11,DH140175,trt,1,54,65,25,0.86,8.5,6,1.1,10.1,0.518407629,9.88372093
Crookston FHB,2020,oreidiv_2020_cfhb,2,1,12,QUEST,chk,0,50,70,11,NA,NA,NA,NA,NA,NA,NA
Crookston FHB,2020,oreidiv_2020_cfhb,2,1,13,MEGS_SONG,trt,1,53,70,32,7.1,56.6,33,2,13.4,0.543342613,7.971830986
Crookston FHB,2020,oreidiv_2020_cfhb,2,1,14,DH140032,trt,1,40,48,NA,8.9,14.8,53.2,0.9,4,0.272281276,1.662921348
Crookston FHB,2020,oreidiv_2020_cfhb,3,1,15,LAWINA,trt,1,52,66,23.5,6.6,24.2,20.5,1.7,12.8,0.327495622,3.666666667
Crookston FHB,2020,oreidiv_2020_cfhb,3,1,16,CDC_CLEAR,chk,0,60,77,19,2.3,16.1,7,2,19.1,0.422960725,7
Crookston FHB,2020,oreidiv_2020_cfhb,3,1,17,PI296460,trt,1,46,66,NA,13.3,59.1,59.3,1.5,9.3,0.417490817,4.443609023
Crookston FHB,2020,oreidiv_2020_cfhb,3,1,18,DH140282,trt,1,47,66,25,1.6,15,20.6,1.2,6.8,0.623268698,9.375
Crookston FHB,2020,oreidiv_2020_cfhb,3,1,19,NEPAL92BN-1,trt,1,40,69,NA,2,1.6,5.7,1.9,7.6,0.166666667,0.8
Crookston FHB,2020,oreidiv_2020_cfhb,3,1,20,10WA-129.7,trt,1,54,75,21,2.2,17.5,21.2,1.6,14.1,0.474415452,7.954545455
Crookston FHB,2020,oreidiv_2020_cfhb,3,1,21,DH140422,trt,1,50,62,31,4,15.2,22.6,1,6.5,0.368932039,3.8
Crookston FHB,2020,oreidiv_2020_cfhb,4,1,22,10.0883,trt,1,55,68,22.5,4.6,31.2,25.5,1.7,12.6,0.477837838,6.782608696
Crookston FHB,2020,oreidiv_2020_cfhb,4,1,23,COLOR-F4-SSD-092,trt,1,49,66,29.5,10.4,56.4,44.2,1.2,8.2,0.442468619,5.423076923
Crookston FHB,2020,oreidiv_2020_cfhb,4,1,24,10WA-107.8,trt,1,53,70,17.5,2.8,17,16.9,1.8,12.8,0.460565924,6.071428571
Crookston FHB,2020,oreidiv_2020_cfhb,4,1,25,DH160800,trt,1,48,57,21,7,46.7,39.2,2.9,13.6,0.587217621,6.671428571
Crookston FHB,2020,oreidiv_2020_cfhb,4,1,26,10WA-130.5,trt,1,53,68,30,2.3,21.1,6.9,2.1,11.9,0.618164063,9.173913043
Crookston FHB,2020,oreidiv_2020_cfhb,4,1,27,DH140451,trt,1,52,51,24,52.9,124.8,146.9,1.6,6.5,0.367376226,2.359168242
Crookston FHB,2020,oreidiv_2020_cfhb,4,1,28,LACEY,chk,0,48,71,17.5,7.8,NA,31.8,NA,4,NA,NA
Crookston FHB,2020,oreidiv_2020_cfhb,4,2,28,PI294734,trt,1,45,110,NA,NA,NA,NA,NA,NA,NA,NA
Crookston FHB,2020,oreidiv_2020_cfhb,4,2,27,PI32042,trt,1,49,33,25,NA,NA,NA,NA,NA,NA,NA
Crookston FHB,2020,oreidiv_2020_cfhb,4,2,26,DH160817,trt,1,51,69,31.5,NA,NA,NA,NA,NA,NA,NA
Crookston FHB,2020,oreidiv_2020_cfhb,4,2,25,OSCAR,trt,1,57,82,18,NA,NA,NA,NA,NA,NA,NA
Crookston FHB,2020,oreidiv_2020_cfhb,4,2,24,HB15334,trt,1,56,73,14.5,NA,NA,NA,NA,NA,NA,NA
Crookston FHB,2020,oreidiv_2020_cfhb,4,2,23,CDC_CLEAR,chk,0,46,45,NA,NA,NA,NA,NA,NA,NA,NA
Crookston FHB,2020,oreidiv_2020_cfhb,4,2,22,DH160811,trt,1,44,74,18.5,NA,NA,NA,NA,NA,NA,NA
Crookston FHB,2020,oreidiv_2020_cfhb,3,2,21,PI331981,trt,1,53,65,22,NA,NA,NA,NA,NA,NA,NA
Crookston FHB,2020,oreidiv_2020_cfhb,3,2,20,DH160820,trt,1,48,76,15,NA,NA,NA,NA,NA,NA,NA
Crookston FHB,2020,oreidiv_2020_cfhb,3,2,19,CI13461,trt,1,48,74,24.5,NA,NA,NA,NA,NA,NA,NA
Crookston FHB,2020,oreidiv_2020_cfhb,3,2,18,ROBUST,chk,0,49,84,14.5,NA,NA,NA,NA,NA,NA,NA
Crookston FHB,2020,oreidiv_2020_cfhb,3,2,17,12WA-107.2,trt,1,51,81,27,2.1,13.2,7.9,1.8,10.4,0.521052632,6.285714286
Crookston FHB,2020,oreidiv_2020_cfhb,3,2,16,DH160419,trt,1,50,60,51.5,80.6,119.9,95.7,3,4.1,0.521183494,1.487593052
Crookston FHB,2020,oreidiv_2020_cfhb,3,2,15,CDC_CLEAR,chk,0,55,82,21,2.5,22.2,12.9,1.8,13.8,0.536663981,8.88
Crookston FHB,2020,oreidiv_2020_cfhb,2,2,14,STANDER,chk,0,50,76,18.5,14.4,NA,53.5,NA,4,NA,NA
Crookston FHB,2020,oreidiv_2020_cfhb,2,2,13,DH160809,trt,1,41,46,23,2.7,3.1,5.6,1.9,4.8,0.312466844,1.148148148
Crookston FHB,2020,oreidiv_2020_cfhb,2,2,12,KAGAWA-HADAKA1,trt,1,47,66,19,5.7,44.7,30.8,3.1,14,0.634565188,7.842105263
Crookston FHB,2020,oreidiv_2020_cfhb,2,2,11,10WA-109.19,trt,1,44,77,19,3.7,20.1,11,2,14.9,0.421693066,5.432432432
Crookston FHB,2020,oreidiv_2020_cfhb,2,2,10,DH160821,trt,1,41,48,NA,8.1,12.1,10.6,2.4,5.3,0.403501459,1.49382716
Crookston FHB,2020,oreidiv_2020_cfhb,2,2,9,DH140211,trt,1,50,60,26.5,15.4,39.1,74.1,1.7,7.8,0.356235597,2.538961039
Crookston FHB,2020,oreidiv_2020_cfhb,2,2,8,ROBUST,chk,0,50,75,12,9.3,NA,23.6,NA,4.4,NA,NA
Crookston FHB,2020,oreidiv_2020_cfhb,1,2,7,LAWINA_MC,trt,1,51,77,20.5,2.9,18,8.8,1.7,13.4,0.440541319,6.206896552
Crookston FHB,2020,oreidiv_2020_cfhb,1,2,6,DH140514,trt,1,51,58,34,14.3,53.8,51.4,2,10.9,0.408395643,3.762237762
Crookston FHB,2020,oreidiv_2020_cfhb,1,2,5,PI270616,trt,1,50,87,17,20.8,50.6,29.5,4.2,9.4,0.520831291,2.432692308
Crookston FHB,2020,oreidiv_2020_cfhb,1,2,4,15WA-120.10,trt,1,50,78,14,4.4,24.4,13.7,1.8,12.3,0.447980416,5.545454545
Crookston FHB,2020,oreidiv_2020_cfhb,1,2,3,SH98076,trt,1,50,74,20,3.1,19.3,8.5,1.2,10.1,0.425188177,6.225806452
Crookston FHB,2020,oreidiv_2020_cfhb,1,2,2,DH133385,trt,1,64,84,NA,7.1,18,3.7,3.2,8.8,0.479680213,2.535211268
Crookston FHB,2020,oreidiv_2020_cfhb,1,2,1,CI13507,trt,1,48,73,17.5,4.3,29.3,29.6,3,12.3,0.624334115,6.813953488
Crookston FHB,2020,oreidiv_2020_cfhb,1,3,1,MTV-COLOR-8,trt,1,48,65,14.5,11.3,34.4,46.3,2.4,11.9,0.380408238,3.044247788
Crookston FHB,2020,oreidiv_2020_cfhb,1,3,2,CHAME14,trt,1,50,92,15.5,15.9,47.7,21.6,4.8,23.4,0.380952381,3
Crookston FHB,2020,oreidiv_2020_cfhb,1,3,3,DH160807,trt,1,48,48,15.5,2.8,26.2,32.8,1.2,10.5,0.516765286,9.357142857
